[2026-05-07T21:03:40.621Z] GET http://localhost:8765/css/site.css → 200 (1ms, 11869B)
[2026-05-07T21:03:40.621Z] GET http://localhost:8765/css/widget.css → 304 (1ms, ?B)
[2026-05-07T21:03:40.621Z] GET https://cdn.jsdelivr.net/npm/mathjax@3/es5/tex-svg.js → 200 (1ms, 2108580B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_intro_e2e_nanogpt.png → 304 (?ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_intro_e2e_llama350m.png → 304 (?ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_filtering_frozen_spectrum.png → 304 (10ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_filtering_frozen_ratio.png → 304 (10ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_direction_frozen.png → 304 (10ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_online_direction.png → 304 (11ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_ordering_frozen_beta.png → 304 (11ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_ordering_frozen_checkpoints_full.png → 304 (11ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_online_ordering_beta.png → 304 (11ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/assets/fig_online_ordering_history.png → 304 (11ms, ?B)
[2026-05-07T21:03:40.622Z] GET http://localhost:8765/js/widget.js → 304 (22ms, ?B)
[2026-05-07T21:03:40.631Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1pL7W0Q5n-wU.woff2 → 200 (?ms, ?B)
[2026-05-07T21:03:40.631Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
